Complaint_Description,Priority
Public washroom closed during operational hours at Karamana Bridge Area,Medium
Lack of cleaning staff at Nemom Bus Stop public toilet,Low
Public washroom closed during operational hours at Vanchiyoor Court Area,Medium
Handwashing facility not working at Kowdiar Junction Area washroom,Medium
Handwashing facility not working at Pattom Ward Bus Stop washroom,Medium
Public washroom closed during operational hours at Karamana Bridge Area,Medium
Improper disposal of sanitary waste at Sreekariyam Market Area toilet,Low
Blocked toilet reported at Karamana Bridge Area public washroom,Medium
No water supply in public toilet at Kazhakkoottam Junction Area,Medium
Water leakage inside public restroom at Sreekariyam Market Area,Low
Door lock broken in public restroom at Palayam Junction,Medium
Broken flush system in washroom at East Fort Area,Medium
Water leakage inside public restroom at Peroorkada Market Area,Low
Public washroom closed during operational hours at Manacaud Market Area,Medium
Public toilet not cleaned regularly at Vanchiyoor Court Area,Medium
Improper disposal of sanitary waste at Peroorkada Market Area toilet,Low
Improper disposal of sanitary waste at Kazhakkoottam Junction Area toilet,Low
Water leakage inside public restroom at Manacaud Market Area,Low
Blocked toilet reported at Kazhakkoottam Junction Area public washroom,Medium
Foul smell due to poor maintenance at Palayam Junction public toilet,Medium
Door lock broken in public restroom at Poojappura Bus Stand,Medium
Water leakage inside public restroom at Karamana Bridge Area,Low
Door lock broken in public restroom at Attakulangara Market Area,Medium
Public washroom closed during operational hours at Peroorkada Market Area,Medium
Damaged wash basin in public restroom at Nemom Bus Stop,Low
Foul smell due to poor maintenance at Attakulangara Market Area public toilet,Medium
Handwashing facility not working at Attakulangara Market Area washroom,Medium
Water leakage inside public restroom at Nemom Bus Stop,Low
No water supply in public toilet at Vanchiyoor Court Area,Medium
Door lock broken in public restroom at Kazhakkoottam Junction Area,Medium
Handwashing facility not working at Attakulangara Market Area washroom,Medium
No water supply in public toilet at Karamana Bridge Area,Medium
No water supply in public toilet at Thampanoor Bus Stand,Medium
No lighting inside public toilet at Palayam Junction,Medium
Blocked toilet reported at Karamana Bridge Area public washroom,Medium
Water leakage inside public restroom at Thampanoor Bus Stand,Low
Overflowing septic tank near Nemom Bus Stop public washroom,High
No water supply in public toilet at Sreekariyam Market Area,Medium
Improper disposal of sanitary waste at Sreekariyam Market Area toilet,Low
Foul smell due to poor maintenance at Manacaud Market Area public toilet,Medium
No water supply in public toilet at Palayam Junction,Medium
No water supply in public toilet at Poojappura Bus Stand,Medium
Water leakage inside public restroom at Vellayambalam Public Park,Low
Unhygienic conditions observed in toilet at Kowdiar Junction Area,Low
No lighting inside public toilet at Palayam Junction,Medium
No water supply in public toilet at Thampanoor Bus Stand,Medium
Water leakage inside public restroom at Peroorkada Market Area,Low
No lighting inside public toilet at East Fort Area,Medium
No water supply in public toilet at Thampanoor Bus Stand,Medium
Door lock broken in public restroom at East Fort Area,Medium
Foul smell due to poor maintenance at Thampanoor Bus Stand public toilet,Medium
Lack of cleaning staff at Palayam Junction public toilet,Low
Damaged wash basin in public restroom at Poojappura Bus Stand,Low
Overflowing septic tank near Kazhakkoottam Junction Area public washroom,High
Lack of cleaning staff at Nemom Bus Stop public toilet,Low
Foul smell due to poor maintenance at East Fort Area public toilet,Medium
Water leakage inside public restroom at Nemom Bus Stop,Low
Improper disposal of sanitary waste at Vellayambalam Public Park toilet,Low
Unhygienic conditions observed in toilet at Kazhakkoottam Junction Area,Low
Door lock broken in public restroom at Karamana Bridge Area,Medium
Handwashing facility not working at Karamana Bridge Area washroom,Medium
Handwashing facility not working at Palayam Junction washroom,Medium
Water leakage inside public restroom at Kowdiar Junction Area,Low
Overflowing septic tank near Poojappura Bus Stand public washroom,High
Overflowing septic tank near Attakulangara Market Area public washroom,High
Door lock broken in public restroom at Palayam Junction,Medium
Damaged wash basin in public restroom at East Fort Area,Low
Broken flush system in washroom at Kazhakkoottam Junction Area,Medium
Blocked toilet reported at Manacaud Market Area public washroom,Medium
Public toilet not cleaned regularly at Poojappura Bus Stand,Medium
No water supply in public toilet at Poojappura Bus Stand,Medium
Damaged wash basin in public restroom at Thampanoor Bus Stand,Low
Water leakage inside public restroom at Pattom Ward Bus Stop,Low
Improper disposal of sanitary waste at Sreekariyam Market Area toilet,Low
Door lock broken in public restroom at Attakulangara Market Area,Medium
Foul smell due to poor maintenance at Attakulangara Market Area public toilet,Medium
Damaged wash basin in public restroom at Pattom Ward Bus Stop,Low
Public washroom closed during operational hours at Peroorkada Market Area,Medium
Blocked toilet reported at Sreekariyam Market Area public washroom,Medium
Broken flush system in washroom at Vellayambalam Public Park,Medium
Handwashing facility not working at Poojappura Bus Stand washroom,Medium
Overflowing septic tank near Pattom Ward Bus Stop public washroom,High
Damaged wash basin in public restroom at Thampanoor Bus Stand,Low
Broken flush system in washroom at Nemom Bus Stop,Medium
Public toilet not cleaned regularly at Vanchiyoor Court Area,Medium
Broken flush system in washroom at Palayam Junction,Medium
Unhygienic conditions observed in toilet at Nemom Bus Stop,Low
Damaged wash basin in public restroom at Poojappura Bus Stand,Low
Handwashing facility not working at Palayam Junction washroom,Medium
Public washroom closed during operational hours at Karamana Bridge Area,Medium
Public washroom closed during operational hours at Attakulangara Market Area,Medium
Handwashing facility not working at Peroorkada Market Area washroom,Medium
Overflowing septic tank near Vellayambalam Public Park public washroom,High
No water supply in public toilet at Kazhakkoottam Junction Area,Medium
No water supply in public toilet at Kowdiar Junction Area,Medium
Broken flush system in washroom at Attakulangara Market Area,Medium
Unhygienic conditions observed in toilet at Pattom Ward Bus Stop,Low
Overflowing septic tank near Attakulangara Market Area public washroom,High
Blocked toilet reported at Kazhakkoottam Junction Area public washroom,Medium
Public washroom closed during operational hours at Attakulangara Market Area,Medium
No lighting inside public toilet at Thampanoor Bus Stand,Medium
Damaged wash basin in public restroom at Vanchiyoor Court Area,Low
Public toilet not cleaned regularly at Vanchiyoor Court Area,Medium
No water supply in public toilet at Thampanoor Bus Stand,Medium
Door lock broken in public restroom at Nemom Bus Stop,Medium
Improper disposal of sanitary waste at Thampanoor Bus Stand toilet,Low
Blocked toilet reported at Palayam Junction public washroom,Medium
Lack of cleaning staff at Karamana Bridge Area public toilet,Low
No lighting inside public toilet at East Fort Area,Medium
Door lock broken in public restroom at Vanchiyoor Court Area,Medium
Door lock broken in public restroom at East Fort Area,Medium
Water leakage inside public restroom at Vanchiyoor Court Area,Low
Damaged wash basin in public restroom at Attakulangara Market Area,Low
No water supply in public toilet at Karamana Bridge Area,Medium
Overflowing septic tank near Vellayambalam Public Park public washroom,High
Unhygienic conditions observed in toilet at Vanchiyoor Court Area,Low
Broken flush system in washroom at Vellayambalam Public Park,Medium
Damaged wash basin in public restroom at Kowdiar Junction Area,Low
Lack of cleaning staff at Pattom Ward Bus Stop public toilet,Low
Lack of cleaning staff at Vellayambalam Public Park public toilet,Low
Overflowing septic tank near Sreekariyam Market Area public washroom,High
Foul smell due to poor maintenance at Vellayambalam Public Park public toilet,Medium
Water leakage inside public restroom at Attakulangara Market Area,Low
Public toilet not cleaned regularly at Karamana Bridge Area,Medium
Overflowing septic tank near Karamana Bridge Area public washroom,High
Unhygienic conditions observed in toilet at Thampanoor Bus Stand,Low
Improper disposal of sanitary waste at Kazhakkoottam Junction Area toilet,Low
Damaged wash basin in public restroom at Manacaud Market Area,Low
Public washroom closed during operational hours at Thampanoor Bus Stand,Medium
Door lock broken in public restroom at Attakulangara Market Area,Medium
No lighting inside public toilet at Manacaud Market Area,Medium
Public washroom closed during operational hours at Kazhakkoottam Junction Area,Medium
Lack of cleaning staff at Pattom Ward Bus Stop public toilet,Low
Unhygienic conditions observed in toilet at Thampanoor Bus Stand,Low
Blocked toilet reported at Kazhakkoottam Junction Area public washroom,Medium
Broken flush system in washroom at Manacaud Market Area,Medium
Handwashing facility not working at Palayam Junction washroom,Medium
Door lock broken in public restroom at Kowdiar Junction Area,Medium
Overflowing septic tank near Kazhakkoottam Junction Area public washroom,High
Public toilet not cleaned regularly at Sreekariyam Market Area,Medium
Foul smell due to poor maintenance at Sreekariyam Market Area public toilet,Medium
Damaged wash basin in public restroom at Kowdiar Junction Area,Low
Lack of cleaning staff at Kazhakkoottam Junction Area public toilet,Low
Lack of cleaning staff at Attakulangara Market Area public toilet,Low
Overflowing septic tank near Thampanoor Bus Stand public washroom,High
Unhygienic conditions observed in toilet at Thampanoor Bus Stand,Low
Public toilet not cleaned regularly at Poojappura Bus Stand,Medium
Overflowing septic tank near Palayam Junction public washroom,High
Water leakage inside public restroom at Palayam Junction,Low
Water leakage inside public restroom at Sreekariyam Market Area,Low
Damaged wash basin in public restroom at Attakulangara Market Area,Low
No water supply in public toilet at Sreekariyam Market Area,Medium
Broken flush system in washroom at Peroorkada Market Area,Medium
Damaged wash basin in public restroom at Pattom Ward Bus Stop,Low
Unhygienic conditions observed in toilet at Attakulangara Market Area,Low
Blocked toilet reported at Nemom Bus Stop public washroom,Medium
Water leakage inside public restroom at Karamana Bridge Area,Low
No lighting inside public toilet at Attakulangara Market Area,Medium
Handwashing facility not working at Manacaud Market Area washroom,Medium
Blocked toilet reported at Manacaud Market Area public washroom,Medium
Handwashing facility not working at East Fort Area washroom,Medium
Lack of cleaning staff at Kazhakkoottam Junction Area public toilet,Low
No lighting inside public toilet at Vanchiyoor Court Area,Medium
Handwashing facility not working at Manacaud Market Area washroom,Medium
Handwashing facility not working at Vanchiyoor Court Area washroom,Medium
Lack of cleaning staff at Sreekariyam Market Area public toilet,Low
Improper disposal of sanitary waste at Kazhakkoottam Junction Area toilet,Low
Foul smell due to poor maintenance at Attakulangara Market Area public toilet,Medium
Broken flush system in washroom at Peroorkada Market Area,Medium
Lack of cleaning staff at Vellayambalam Public Park public toilet,Low
Lack of cleaning staff at Manacaud Market Area public toilet,Low
Blocked toilet reported at Nemom Bus Stop public washroom,Medium
Door lock broken in public restroom at Pattom Ward Bus Stop,Medium
Blocked toilet reported at East Fort Area public washroom,Medium
Handwashing facility not working at Vanchiyoor Court Area washroom,Medium
Public washroom closed during operational hours at Vanchiyoor Court Area,Medium
Foul smell due to poor maintenance at East Fort Area public toilet,Medium
Blocked toilet reported at Attakulangara Market Area public washroom,Medium
Improper disposal of sanitary waste at Sreekariyam Market Area toilet,Low
Public toilet not cleaned regularly at Attakulangara Market Area,Medium
Improper disposal of sanitary waste at East Fort Area toilet,Low
Public toilet not cleaned regularly at Sreekariyam Market Area,Medium
Foul smell due to poor maintenance at Sreekariyam Market Area public toilet,Medium
Public washroom closed during operational hours at Poojappura Bus Stand,Medium
Overflowing septic tank near Manacaud Market Area public washroom,High
No water supply in public toilet at Palayam Junction,Medium
Public washroom closed during operational hours at Thampanoor Bus Stand,Medium
Unhygienic conditions observed in toilet at Attakulangara Market Area,Low
Public toilet not cleaned regularly at East Fort Area,Medium
Handwashing facility not working at Poojappura Bus Stand washroom,Medium
Lack of cleaning staff at Attakulangara Market Area public toilet,Low
Public washroom closed during operational hours at Kowdiar Junction Area,Medium
Foul smell due to poor maintenance at East Fort Area public toilet,Medium
Door lock broken in public restroom at Manacaud Market Area,Medium
Blocked toilet reported at East Fort Area public washroom,Medium
No lighting inside public toilet at Poojappura Bus Stand,Medium
Improper disposal of sanitary waste at Manacaud Market Area toilet,Low
Foul smell due to poor maintenance at Karamana Bridge Area public toilet,Medium
Unhygienic conditions observed in toilet at Vanchiyoor Court Area,Low
Foul smell due to poor maintenance at Vanchiyoor Court Area public toilet,Medium
No lighting inside public toilet at East Fort Area,Medium
No water supply in public toilet at Poojappura Bus Stand,Medium
Water leakage inside public restroom at Nemom Bus Stop,Low
Blocked toilet reported at Kazhakkoottam Junction Area public washroom,Medium
No water supply in public toilet at Attakulangara Market Area,Medium
Public toilet not cleaned regularly at Thampanoor Bus Stand,Medium
Public toilet not cleaned regularly at Peroorkada Market Area,Medium
No water supply in public toilet at Pattom Ward Bus Stop,Medium
No lighting inside public toilet at East Fort Area,Medium
Overflowing septic tank near Peroorkada Market Area public washroom,High
Lack of cleaning staff at Vanchiyoor Court Area public toilet,Low
Public washroom closed during operational hours at Kowdiar Junction Area,Medium
Lack of cleaning staff at Attakulangara Market Area public toilet,Low
Water leakage inside public restroom at Kazhakkoottam Junction Area,Low
Broken flush system in washroom at Palayam Junction,Medium
No lighting inside public toilet at Thampanoor Bus Stand,Medium
Lack of cleaning staff at Vellayambalam Public Park public toilet,Low
Overflowing septic tank near Sreekariyam Market Area public washroom,High
Lack of cleaning staff at East Fort Area public toilet,Low
Blocked toilet reported at Nemom Bus Stop public washroom,Medium
Public washroom closed during operational hours at Kowdiar Junction Area,Medium
Improper disposal of sanitary waste at Peroorkada Market Area toilet,Low
Water leakage inside public restroom at East Fort Area,Low
No water supply in public toilet at Nemom Bus Stop,Medium
Public toilet not cleaned regularly at Thampanoor Bus Stand,Medium
Improper disposal of sanitary waste at Kazhakkoottam Junction Area toilet,Low
Broken flush system in washroom at Vanchiyoor Court Area,Medium
No water supply in public toilet at Nemom Bus Stop,Medium
Blocked toilet reported at Poojappura Bus Stand public washroom,Medium
No water supply in public toilet at Poojappura Bus Stand,Medium
No water supply in public toilet at Attakulangara Market Area,Medium
Handwashing facility not working at Vellayambalam Public Park washroom,Medium
Foul smell due to poor maintenance at Vanchiyoor Court Area public toilet,Medium
Improper disposal of sanitary waste at East Fort Area toilet,Low
Water leakage inside public restroom at Kazhakkoottam Junction Area,Low
No water supply in public toilet at East Fort Area,Medium
Damaged road divider affecting traffic flow at Nemom Ward,Medium
Road shoulder erosion reported at Manacaud Area,Medium
Uneven road surface affecting two-wheelers at Kazhakkoottam Junction,Low
Uneven road surface affecting two-wheelers at Thampanoor Junction,Low
Damaged road divider affecting traffic flow at Thampanoor Junction,Medium
Loose gravel spread across road at Sreekariyam Area,Medium
Waterlogging on road at Kowdiar Junction after rainfall,Medium
Heavy dust due to damaged road surface at Peroorkada Junction,Medium
Road cave-in noticed at Pattom Ward posing safety hazard,Critical
Large pothole reported at Peroorkada Junction causing vehicle damage,Medium
Uneven road surface affecting two-wheelers at Palayam Area,Low
Road surface damaged after rain at Vellayambalam Ward,Medium
Uneven road surface affecting two-wheelers at Manacaud Area,Low
Damaged road divider affecting traffic flow at Vellayambalam Ward,Medium
Road shoulder erosion reported at East Fort Junction,Medium
Waterlogging on road at Kowdiar Junction after rainfall,Medium
Road cave-in noticed at Peroorkada Junction posing safety hazard,Critical
Drainage blockage causing road flooding at Peroorkada Junction,High
Broken speed breaker causing inconvenience at Sreekariyam Area,Medium
Road surface damaged after rain at Nemom Ward,Medium
Road surface damaged after rain at East Fort Junction,Medium
Drainage blockage causing road flooding at Palayam Area,High
Road surface damaged after rain at Vellayambalam Ward,Medium
Faded road markings creating confusion at Kowdiar Junction junction,Low
Road cave-in noticed at Kazhakkoottam Junction posing safety hazard,Critical
Uneven road surface affecting two-wheelers at East Fort Junction,Low
Road shoulder erosion reported at Attakulangara Market Area,Medium
Damaged road divider affecting traffic flow at Sreekariyam Area,Medium
Faded road markings creating confusion at Kazhakkoottam Junction junction,Low
Road surface damaged after rain at Poojappura Road,Medium
Frequent accidents reported due to poor road condition at Palayam Area,Low
Road shoulder erosion reported at Karamana Bridge Area,Medium
Faded road markings creating confusion at Manacaud Area junction,Low
Heavy dust due to damaged road surface at Kowdiar Junction,Medium
Road surface damaged after rain at Poojappura Road,Medium
Heavy dust due to damaged road surface at Thampanoor Junction,Medium
Large pothole reported at Manacaud Area causing vehicle damage,Medium
Road shoulder erosion reported at Kowdiar Junction,Medium
Uneven road surface affecting two-wheelers at Peroorkada Junction,Low
Severe road cracks observed at Sreekariyam Area requiring urgent repair,Low
Faded road markings creating confusion at Attakulangara Market Area junction,Low
Loose gravel spread across road at Peroorkada Junction,Medium
Damaged road divider affecting traffic flow at Manacaud Area,Medium
Road shoulder erosion reported at Vanchiyoor Ward,Medium
Heavy dust due to damaged road surface at Karamana Bridge Area,Medium
Improper patchwork repair noticed at Vanchiyoor Ward,Low
Improper patchwork repair noticed at Palayam Area,Low
Large pothole reported at Peroorkada Junction causing vehicle damage,Medium
Waterlogging on road at Poojappura Road after rainfall,Medium
Large pothole reported at Nemom Ward causing vehicle damage,Medium
Improper patchwork repair noticed at Kowdiar Junction,Low
Loose gravel spread across road at Attakulangara Market Area,Medium
Large pothole reported at Kazhakkoottam Junction causing vehicle damage,Medium
Road shoulder erosion reported at Thampanoor Junction,Medium
Damaged road divider affecting traffic flow at Peroorkada Junction,Medium
Drainage blockage causing road flooding at Manacaud Area,High
Large pothole reported at Poojappura Road causing vehicle damage,Medium
Road shoulder erosion reported at Kazhakkoottam Junction,Medium
Broken speed breaker causing inconvenience at Poojappura Road,Medium
Loose gravel spread across road at Kowdiar Junction,Medium
Uneven road surface affecting two-wheelers at Kazhakkoottam Junction,Low
Improper patchwork repair noticed at Pattom Ward,Low
Road cave-in noticed at Kazhakkoottam Junction posing safety hazard,Critical
Frequent accidents reported due to poor road condition at Kowdiar Junction,Low
Road surface damaged after rain at Kowdiar Junction,Medium
Damaged road divider affecting traffic flow at Karamana Bridge Area,Medium
Waterlogging on road at East Fort Junction after rainfall,Medium
Heavy dust due to damaged road surface at Pattom Ward,Medium
Waterlogging on road at Vanchiyoor Ward after rainfall,Medium
Road cave-in noticed at Peroorkada Junction posing safety hazard,Critical
Road shoulder erosion reported at Pattom Ward,Medium
Faded road markings creating confusion at East Fort Junction junction,Low
Severe road cracks observed at Manacaud Area requiring urgent repair,Low
Faded road markings creating confusion at Pattom Ward junction,Low
Road surface damaged after rain at Peroorkada Junction,Medium
Road shoulder erosion reported at Nemom Ward,Medium
Road surface damaged after rain at Vanchiyoor Ward,Medium
Road shoulder erosion reported at Kowdiar Junction,Medium
Improper patchwork repair noticed at Kowdiar Junction,Low
Faded road markings creating confusion at Thampanoor Junction junction,Low
Uneven road surface affecting two-wheelers at East Fort Junction,Low
Loose gravel spread across road at Kowdiar Junction,Medium
Broken speed breaker causing inconvenience at Poojappura Road,Medium
Large pothole reported at Poojappura Road causing vehicle damage,Medium
Improper patchwork repair noticed at Kowdiar Junction,Low
Drainage blockage causing road flooding at Vellayambalam Ward,High
Damaged road divider affecting traffic flow at Karamana Bridge Area,Medium
Road surface damaged after rain at East Fort Junction,Medium
Faded road markings creating confusion at Peroorkada Junction junction,Low
Road cave-in noticed at Karamana Bridge Area posing safety hazard,Critical
Improper patchwork repair noticed at Thampanoor Junction,Low
Heavy dust due to damaged road surface at Vanchiyoor Ward,Medium
Improper patchwork repair noticed at Peroorkada Junction,Low
Road cave-in noticed at Thampanoor Junction posing safety hazard,Critical
Faded road markings creating confusion at Kowdiar Junction junction,Low
Heavy dust due to damaged road surface at Kazhakkoottam Junction,Medium
Loose gravel spread across road at East Fort Junction,Medium
Loose gravel spread across road at Manacaud Area,Medium
Large pothole reported at Pattom Ward causing vehicle damage,Medium
Waterlogging on road at East Fort Junction after rainfall,Medium
Drainage blockage causing road flooding at Vanchiyoor Ward,High
Road shoulder erosion reported at Attakulangara Market Area,Medium
Road surface damaged after rain at Palayam Area,Medium
Broken speed breaker causing inconvenience at Sreekariyam Area,Medium
Damaged road divider affecting traffic flow at Sreekariyam Area,Medium
Damaged road divider affecting traffic flow at Attakulangara Market Area,Medium
Loose gravel spread across road at Kazhakkoottam Junction,Medium
Severe road cracks observed at Sreekariyam Area requiring urgent repair,Low
Severe road cracks observed at Poojappura Road requiring urgent repair,Low
Loose gravel spread across road at Peroorkada Junction,Medium
Frequent accidents reported due to poor road condition at Attakulangara Market Area,Low
Improper patchwork repair noticed at Manacaud Area,Low
Broken speed breaker causing inconvenience at Kowdiar Junction,Medium
Large pothole reported at Poojappura Road causing vehicle damage,Medium
Damaged road divider affecting traffic flow at Thampanoor Junction,Medium
Severe road cracks observed at Vanchiyoor Ward requiring urgent repair,Low
Large pothole reported at Poojappura Road causing vehicle damage,Medium
Road cave-in noticed at Manacaud Area posing safety hazard,Critical
Faded road markings creating confusion at Nemom Ward junction,Low
Improper patchwork repair noticed at Pattom Ward,Low
Road surface damaged after rain at Palayam Area,Medium
Loose gravel spread across road at Thampanoor Junction,Medium
Road surface damaged after rain at Vanchiyoor Ward,Medium
Improper patchwork repair noticed at Sreekariyam Area,Low
Drainage blockage causing road flooding at Karamana Bridge Area,High
Drainage blockage causing road flooding at Kowdiar Junction,High
Heavy dust due to damaged road surface at Pattom Ward,Medium
Heavy dust due to damaged road surface at Vellayambalam Ward,Medium
Drainage blockage causing road flooding at Peroorkada Junction,High
Faded road markings creating confusion at Kowdiar Junction junction,Low
Drainage blockage causing road flooding at Manacaud Area,High
Loose gravel spread across road at Nemom Ward,Medium
Uneven road surface affecting two-wheelers at East Fort Junction,Low
Road cave-in noticed at Kowdiar Junction posing safety hazard,Critical
Road shoulder erosion reported at Palayam Area,Medium
Improper patchwork repair noticed at Pattom Ward,Low
Drainage blockage causing road flooding at Nemom Ward,High
Damaged road divider affecting traffic flow at Poojappura Road,Medium
Improper patchwork repair noticed at Kowdiar Junction,Low
Waterlogging on road at Peroorkada Junction after rainfall,Medium
Drainage blockage causing road flooding at Karamana Bridge Area,High
Road surface damaged after rain at Vanchiyoor Ward,Medium
Large pothole reported at Sreekariyam Area causing vehicle damage,Medium
Road surface damaged after rain at Thampanoor Junction,Medium
Road shoulder erosion reported at Thampanoor Junction,Medium
Road surface damaged after rain at Vanchiyoor Ward,Medium
Drainage blockage causing road flooding at Manacaud Area,High
Severe road cracks observed at Nemom Ward requiring urgent repair,Low
Uneven road surface affecting two-wheelers at Palayam Area,Low
Large pothole reported at Manacaud Area causing vehicle damage,Medium
Drainage blockage causing road flooding at Kowdiar Junction,High
Broken speed breaker causing inconvenience at Vellayambalam Ward,Medium
Faded road markings creating confusion at Poojappura Road junction,Low
Heavy dust due to damaged road surface at East Fort Junction,Medium
Uneven road surface affecting two-wheelers at Kazhakkoottam Junction,Low
Uneven road surface affecting two-wheelers at Peroorkada Junction,Low
Uneven road surface affecting two-wheelers at Kowdiar Junction,Low
Large pothole reported at Kowdiar Junction causing vehicle damage,Medium
Large pothole reported at Sreekariyam Area causing vehicle damage,Medium
Road cave-in noticed at Palayam Area posing safety hazard,Critical
Road cave-in noticed at Peroorkada Junction posing safety hazard,Critical
Waterlogging on road at Vellayambalam Ward after rainfall,Medium
Improper patchwork repair noticed at Palayam Area,Low
Waterlogging on road at Kazhakkoottam Junction after rainfall,Medium
Heavy dust due to damaged road surface at Nemom Ward,Medium
Waterlogging on road at Pattom Ward after rainfall,Medium
Severe road cracks observed at Attakulangara Market Area requiring urgent repair,Low
Road cave-in noticed at East Fort Junction posing safety hazard,Critical
Road shoulder erosion reported at Poojappura Road,Medium
Large pothole reported at Thampanoor Junction causing vehicle damage,Medium
Road surface damaged after rain at East Fort Junction,Medium
Broken speed breaker causing inconvenience at Peroorkada Junction,Medium
Road surface damaged after rain at Attakulangara Market Area,Medium
Road shoulder erosion reported at Kowdiar Junction,Medium
Severe road cracks observed at Vanchiyoor Ward requiring urgent repair,Low
Improper patchwork repair noticed at Karamana Bridge Area,Low
Uneven road surface affecting two-wheelers at Thampanoor Junction,Low
Road cave-in noticed at Manacaud Area posing safety hazard,Critical
Damaged road divider affecting traffic flow at Kowdiar Junction,Medium
Loose gravel spread across road at East Fort Junction,Medium
Faded road markings creating confusion at Kazhakkoottam Junction junction,Low
Waterlogging on road at Vanchiyoor Ward after rainfall,Medium
Severe road cracks observed at Attakulangara Market Area requiring urgent repair,Low
Severe road cracks observed at Manacaud Area requiring urgent repair,Low
Severe road cracks observed at Vanchiyoor Ward requiring urgent repair,Low
Frequent accidents reported due to poor road condition at Vellayambalam Ward,Low
Loose gravel spread across road at Vellayambalam Ward,Medium
Damaged road divider affecting traffic flow at Vanchiyoor Ward,Medium
Road shoulder erosion reported at Attakulangara Market Area,Medium
Road surface damaged after rain at Pattom Ward,Medium
Road cave-in noticed at Sreekariyam Area posing safety hazard,Critical
Loose gravel spread across road at Attakulangara Market Area,Medium
Road surface damaged after rain at Vellayambalam Ward,Medium
Faded road markings creating confusion at Attakulangara Market Area junction,Low
Frequent accidents reported due to poor road condition at Kowdiar Junction,Low
Broken speed breaker causing inconvenience at Vellayambalam Ward,Medium
Road surface damaged after rain at East Fort Junction,Medium
Road surface damaged after rain at Sreekariyam Area,Medium
Damaged road divider affecting traffic flow at Peroorkada Junction,Medium
Damaged road divider affecting traffic flow at East Fort Junction,Medium
Frequent accidents reported due to poor road condition at Kowdiar Junction,Low
Drainage blockage causing road flooding at Sreekariyam Area,High
Severe road cracks observed at Kowdiar Junction requiring urgent repair,Low
Severe road cracks observed at Sreekariyam Area requiring urgent repair,Low
Improper patchwork repair noticed at Kazhakkoottam Junction,Low
Frequent accidents reported due to poor road condition at Thampanoor Junction,Low
Faded road markings creating confusion at East Fort Junction junction,Low
Severe road cracks observed at Manacaud Area requiring urgent repair,Low
Large pothole reported at Kazhakkoottam Junction causing vehicle damage,Medium
Loose gravel spread across road at Karamana Bridge Area,Medium
Frequent accidents reported due to poor road condition at Karamana Bridge Area,Low
Large pothole reported at Nemom Ward causing vehicle damage,Medium
Broken speed breaker causing inconvenience at Attakulangara Market Area,Medium
Road surface damaged after rain at Peroorkada Junction,Medium
Improper patchwork repair noticed at Vellayambalam Ward,Low
Broken speed breaker causing inconvenience at Kazhakkoottam Junction,Medium
Large pothole reported at Nemom Ward causing vehicle damage,Medium
Faded road markings creating confusion at Manacaud Area junction,Low
Heavy dust due to damaged road surface at Attakulangara Market Area,Medium
Road surface damaged after rain at Attakulangara Market Area,Medium
Drainage blockage causing road flooding at Attakulangara Market Area,High
Uneven road surface affecting two-wheelers at Thampanoor Junction,Low
Road shoulder erosion reported at Vanchiyoor Ward,Medium
Uneven road surface affecting two-wheelers at Thampanoor Junction,Low
Road shoulder erosion reported at East Fort Junction,Medium
Road shoulder erosion reported at Kowdiar Junction,Medium
Uneven road surface affecting two-wheelers at Attakulangara Market Area,Low
Faded road markings creating confusion at Poojappura Road junction,Low
Broken speed breaker causing inconvenience at Pattom Ward,Medium
Improper patchwork repair noticed at East Fort Junction,Low
Uneven road surface affecting two-wheelers at Palayam Area,Low
Loose gravel spread across road at Kazhakkoottam Junction,Medium
Heavy dust due to damaged road surface at Manacaud Area,Medium
Road shoulder erosion reported at Pattom Ward,Medium
Drainage blockage causing road flooding at Poojappura Road,High
Uneven road surface affecting two-wheelers at Peroorkada Junction,Low
Uneven road surface affecting two-wheelers at Vanchiyoor Ward,Low
Road cave-in noticed at Sreekariyam Area posing safety hazard,Critical
Road surface damaged after rain at Vellayambalam Ward,Medium
Waterlogging on road at Pattom Ward after rainfall,Medium
Frequent accidents reported due to poor road condition at Palayam Area,Low
Frequent accidents reported due to poor road condition at Vanchiyoor Ward,Low
Drainage blockage causing road flooding at Manacaud Area,High
Large pothole reported at Peroorkada Junction causing vehicle damage,Medium
Faded road markings creating confusion at East Fort Junction junction,Low
Severe road cracks observed at Karamana Bridge Area requiring urgent repair,Low
Large pothole reported at Thampanoor Junction causing vehicle damage,Medium
Damaged road divider affecting traffic flow at Manacaud Area,Medium
Road shoulder erosion reported at Peroorkada Junction,Medium
Uneven road surface affecting two-wheelers at Thampanoor Junction,Low
Faded road markings creating confusion at Manacaud Area junction,Low
Frequent accidents reported due to poor road condition at Vanchiyoor Ward,Low
Broken speed breaker causing inconvenience at Palayam Area,Medium
Large pothole reported at Nemom Ward causing vehicle damage,Medium
Road cave-in noticed at East Fort Junction posing safety hazard,Critical
Damaged road divider affecting traffic flow at Kazhakkoottam Junction,Medium
Severe road cracks observed at Manacaud Area requiring urgent repair,Low
Waterlogging on road at Vanchiyoor Ward after rainfall,Medium
Loose gravel spread across road at Karamana Bridge Area,Medium
Severe road cracks observed at Pattom Ward requiring urgent repair,Low
Road shoulder erosion reported at Thampanoor Junction,Medium
Broken speed breaker causing inconvenience at Thampanoor Junction,Medium
